"","SpCode","SpID","Elev","SpSize","StiL","BlL","FrL","StiLtoBlL","LWbase","LW2nd","LW3rd","BasalPiL","BasiscPiL","AcroPiL","NeBasiPiL","BasiPiLtoPL","AcroPitoBasi","PP1toPP2","PP2toPP3","PP3toPP4","PP1to2toAll","NoFreeP","ProFreeP","WtoBl1","WtoBl2","WtoBl3","NBasitoBasi","BasPLtoLWbase","StiScL","StiScW","StiScWtoL1"
"92",4,19,3000,47,9.5,7.6,17.1,1.25,4,3.5,3.1,2,1,0.5,0.9,0.5,0.5,1.1,0.8,0.6,0.44,3,0.27,0.53,0.46,0.41,0.9,0.5,4,1,0.25
"93",4,20,3050,43,8.5,8.2,16.7,1.04,3.7,3,3,2.5,1,0.4,0.9,0.4,0.4,1.6,1.2,0.9,0.43,4,0.31,0.45,0.37,0.37,0.9,0.68,3.25,0.75,0.23
"94",4,21,3050,0,5.7,6,11.7,0.95,3.6,3.1,2.7,1.9,0.95,0.55,0.65,0.5,0.58,1,0.85,0.6,0.41,4,0.44,0.6,0.52,0.45,0.68,0.53,3.5,0.5,0.14
"95",4,22,3050,43,8,7.4,15.4,1.08,3.9,3.9,3.4,2.2,1,0.5,1,0.45,0.5,1.4,1,0.7,0.45,4,0.29,0.53,0.53,0.46,1,0.56,4.25,0.5,0.12
"96",4,23,3050,0,13.1,7.6,20.7,1.72,4.2,3.5,3,2,1.1,0.5,0.9,0.55,0.45,1.6,1.1,0.8,0.46,2,0.25,0.55,0.46,0.39,0.82,0.48,4,0.5,0.13
"97",4,24,2400,44,6,6.5,12.5,0.92,2.9,2.6,2,1.75,0.6,0.4,0.45,0.34,0.67,1,0.65,0.45,0.48,2,0.15,0.45,0.4,0.31,0.75,0.6,3.25,0.75,0.23
"98",4,25,2590,44,13,8,21,1.63,4,3.9,3.5,2.7,1,0.5,1,0.37,0.5,1.2,1,0.8,0.4,7,0.58,0.5,0.49,0.44,1,0.68,4.25,0.75,0.18
"99",4,26,3200,38,7.5,7.2,14.7,1.04,4.4,4.8,4.8,3.6,2,1.3,0.9,0.56,0.65,2.4,1.5,0.8,0.51,2,0.25,0.61,0.67,0.67,0.45,0.82,3.25,1.25,0.38
"100",4,27,3200,42,15,17,32,0.88,5.3,6.6,6,3.9,1.9,0.9,1.2,0.49,0.47,2.8,1.9,1.5,0.45,12,0.71,0.31,0.39,0.35,0.63,0.74,4.25,1,0.24
"101",4,28,3200,35,13,14.2,27.2,0.92,4.9,4,4,3.8,1.7,0.7,0.7,0.45,0.41,2,1.5,0.8,0.47,12,0.75,0.35,0.28,0.28,0.41,0.78,6,1,0.17
"102",4,29,4500,31.5,5.9,5.8,11.7,1.02,3.4,2.5,2.6,2.1,1.2,0.6,0.8,0.57,0.5,1.7,1,0.65,0.51,6,0.5,0.59,0.43,0.45,0.67,0.62,4,1,0.25
"103",4,30,2625,41,5,5.4,10.4,0.93,3.5,3.1,2.9,1.7,0.8,0.5,0.5,0.47,0.63,0.9,0.7,0.5,0.43,4,0.44,0.65,0.57,0.54,0.63,0.49,2.5,0.5,0.2
"104",4,31,2500,47.5,8.2,9.5,17.7,0.86,3.3,3.5,3.1,2.6,0.9,0.5,0.6,0.35,0.56,1.8,1.2,0.9,0.46,4,0.31,0.35,0.37,0.33,0.67,0.79,3.25,0.75,0.23
"105",4,32,2500,47,9.5,9.6,19.1,0.99,3.9,4.4,4,2.8,1.7,0.65,1.3,0.61,0.38,2,1.3,1,0.47,7,0.58,0.41,0.46,0.42,0.76,0.72,2.25,1.25,0.56
"106",4,33,3000,33,23.8,20,43.8,1.19,9.3,8.8,7.8,5.9,3.4,1.6,2.7,0.58,0.47,3.7,2.75,2.1,0.43,8,0.5,0.47,0.44,0.39,0.79,0.63,3.75,1,0.24
"107",4,35,3650,36,8.4,2.3,10.7,3.65,2.6,2.1,1.5,1.3,0.9,0.3,0.6,0.69,0.33,0.6,0.4,0.3,0.46,1,0.25,1.13,0.91,0.65,0.67,0.5,3.25,1,0.31
"108",4,36,2630,40.5,8.5,11.2,19.7,0.76,4.6,4.9,4.1,2.7,1.3,0.6,0.9,0.48,0.46,1.5,1.1,0.9,0.43,6,0.55,0.41,0.44,0.37,0.69,0.59,5,0.75,0.15
"109",4,37,2630,45.8,10.1,15,25.1,0.67,7.5,7,6.5,4.8,1.8,1,1.5,0.38,0.56,2.3,1.7,1.4,0.43,9,0.82,0.5,0.47,0.43,0.83,0.64,5,0.75,0.15
"110",4,38,1545,39,6.4,10.8,17.2,0.59,6.7,5.2,4.5,4.1,1.6,0.9,1.1,0.39,0.56,1.8,1.3,1.1,0.43,9,0.82,0.62,0.48,0.42,0.69,0.61,5,0.75,0.15
"111",4,39,1920,39,8.2,5.9,14.1,1.39,3.8,2.6,2.7,1.9,1,0.4,0.6,0.53,0.4,1.2,0.8,0.6,0.46,5,0.71,0.64,0.44,0.46,0.6,0.5,2.5,1,0.4
"112",4,40,1920,39,7.6,4.3,11.9,1.77,2.9,2.6,2.3,1.7,0.8,0.3,0.7,0.47,0.38,0.8,0.6,0.5,0.42,4,0.67,0.67,0.6,0.53,0.88,0.59,2.25,0.75,0.33
"113",4,41,1850,46.2,9.7,7.9,17.6,1.23,4.7,4.2,2.7,2.1,1.5,0.7,1.2,0.71,0.47,1.1,0.9,0.8,0.39,7,0.7,0.59,0.53,0.34,0.8,0.45,4,0.75,0.19
